fecha_libro,descripcion_libro,monto_libro,referencia_libro,cuenta_contable
2026-02-01,TRANSF CLIENTE A,125000.00,LB1001,4101
2026-02-02,PAGO A PROVEEDOR XYZ,-45250.00,LB1002,2101
2026-02-03,DEPOSITO EN EFECTIVO,30000.00,LB1003,1101
2026-02-05,COMISION BANCARIA MES FEB,-1250.00,LB1004,5301
2026-02-07,TRANSFERENCIA CLIENTE B,87500.00,LB1005,4101
2026-02-08,SERVICIO DE INTERNET,-18900.00,LB1006,5202
2026-02-10,TRANSFERENCIA CLIENTE C,45200.00,LB1007,4101
2026-02-13,PAGO PROVEEDOR ABC,-60000.00,LB1008,2101
2026-02-15,DEPOSITO CLIENTE D,95000.00,LB1009,1101
2026-02-16,ASIENTO AJUSTE CONTABLE,-5000.00,LB1010,5901